time_of_day,day_of_week,road_name,vehicle_count,avg_speed,rainfall,holiday,incident,weather,congestion_level
11,6,MG Road,253,37.47,0.0,1,0,Clear,Low
20,5,Outer Ring Road,404,33.18,13.88,1,0,Rainy,Low
5,6,Silk Board Junction,111,38.89,0.0,1,0,Clear,Low
12,4,Sarjapur Road,180,38.2,0.0,0,0,Cloudy,Low
23,6,MG Road,128,38.72,0.0,1,0,Cloudy,Low
6,4,Whitefield Main Road,197,33.98,20.25,0,0,Heavy Rain,Low
13,2,Whitefield Main Road,256,31.9,27.71,0,0,Heavy Rain,Low
9,4,Whitefield Main Road,686,30.51,13.16,0,0,Rainy,Low
5,5,Silk Board Junction,141,34.73,19.31,1,0,Rainy,Low
22,3,Hebbal Flyover,295,29.88,35.83,0,0,Heavy Rain,Medium
8,6,Indiranagar 100ft Road,314,36.86,0.0,1,0,Cloudy,Low
21,5,Brigade Road,314,33.33,17.63,1,0,Rainy,Low
20,6,Whitefield Main Road,433,35.67,0.0,1,0,Cloudy,Low
11,0,Indiranagar 100ft Road,657,29.41,20.09,0,0,Heavy Rain,Medium
10,1,Sarjapur Road,647,25.17,41.78,0,0,Heavy Rain,Medium
2,6,Outer Ring Road,99,36.76,11.26,1,0,Rainy,Low
21,0,Outer Ring Road,494,32.71,11.76,0,0,Rainy,Low
13,1,Electronic City Flyover,245,37.55,0.0,0,0,Cloudy,Low
17,1,Brigade Road,659,33.41,0.0,0,0,Clear,Low
9,2,Brigade Road,616,30.19,18.27,0,0,Rainy,Low
6,1,Indiranagar 100ft Road,215,37.85,0.0,0,0,Clear,Low
10,6,Silk Board Junction,315,36.85,0.0,1,0,Cloudy,Low
9,2,Whitefield Main Road,715,30.83,10.08,0,0,Rainy,Low
16,4,Electronic City Flyover,254,37.46,0.0,0,0,Clear,Low
20,4,Indiranagar 100ft Road,391,28.08,40.05,1,0,Heavy Rain,Medium
10,2,Bannerghatta Road,401,29.9,30.47,0,0,Heavy Rain,Medium
16,6,Indiranagar 100ft Road,112,38.88,0.0,1,0,Clear,Low
3,0,Hebbal Flyover,252,34.22,16.31,0,0,Rainy,Low
3,4,Electronic City Flyover,227,37.73,0.0,0,0,Clear,Low
0,5,Brigade Road,166,35.22,15.6,1,0,Rainy,Low
17,4,Brigade Road,591,34.09,0.0,0,0,Clear,Low
5,1,Brigade Road,298,37.02,0.0,0,0,Clear,Low
23,2,Whitefield Main Road,181,38.19,0.0,0,0,Clear,Low
14,6,Silk Board Junction,107,34.0,24.64,1,0,Heavy Rain,Low
6,4,Whitefield Main Road,221,37.79,0.0,0,0,Cloudy,Low
6,1,Indiranagar 100ft Road,198,28.49,47.64,0,0,Heavy Rain,Medium
9,5,Brigade Road,394,33.09,14.84,1,0,Rainy,Low
19,5,Electronic City Flyover,363,36.37,0.0,1,0,Clear,Low
20,1,Hebbal Flyover,635,33.65,0.0,0,0,Clear,Low
14,0,Whitefield Main Road,212,37.88,0.0,0,0,Clear,Low
11,2,Outer Ring Road,404,29.51,32.25,0,0,Heavy Rain,Medium
17,4,Outer Ring Road,731,24.37,41.58,0,0,Heavy Rain,Medium
0,5,Silk Board Junction,176,30.03,41.06,1,0,Heavy Rain,Low
6,4,Whitefield Main Road,228,34.16,17.78,0,0,Rainy,Low
7,5,Hebbal Flyover,123,38.77,0.0,1,0,Cloudy,Low
18,1,Sarjapur Road,577,32.81,7.12,0,0,Rainy,Low
2,0,Whitefield Main Road,253,37.47,0.0,0,0,Cloudy,Low
7,3,Whitefield Main Road,168,38.32,0.0,0,0,Cloudy,Low
20,5,Hebbal Flyover,366,29.3,35.2,1,0,Heavy Rain,Medium
7,6,Sarjapur Road,110,38.9,0.0,1,0,Clear,Low
11,1,Bannerghatta Road,554,33.14,6.62,0,0,Rainy,Low
8,4,Whitefield Main Road,504,26.33,43.16,0,0,Heavy Rain,Medium
4,2,Electronic City Flyover,171,31.65,33.2,0,0,Heavy Rain,Low
4,6,Hebbal Flyover,126,38.74,0.0,1,0,Clear,Low
0,6,Electronic City Flyover,113,30.66,41.05,1,0,Heavy Rain,Low
18,6,Whitefield Main Road,373,32.88,16.97,1,0,Rainy,Low
0,4,Indiranagar 100ft Road,195,32.89,25.81,0,0,Heavy Rain,Low
8,3,Sarjapur Road,672,33.28,0.0,0,0,Clear,Low
11,6,MG Road,335,36.65,0.0,1,0,Clear,Low
16,4,Sarjapur Road,212,37.88,0.0,0,0,Clear,Low
23,1,Electronic City Flyover,274,37.26,0.0,0,0,Cloudy,Low
14,5,Whitefield Main Road,131,36.7,9.95,1,0,Rainy,Low
16,6,Hebbal Flyover,111,38.89,0.0,1,0,Cloudy,Low
15,4,MG Road,169,38.31,0.0,0,0,Clear,Low
1,4,Brigade Road,285,37.15,0.0,0,0,Cloudy,Low
1,4,Indiranagar 100ft Road,254,34.89,12.84,0,0,Rainy,Low
17,4,Brigade Road,415,32.82,15.14,0,0,Rainy,Low
20,0,Bannerghatta Road,529,30.3,22.05,0,0,Heavy Rain,Low
9,3,Silk Board Junction,557,34.43,0.0,0,0,Cloudy,Low
22,1,Silk Board Junction,247,29.18,41.75,0,0,Heavy Rain,Medium
17,2,Silk Board Junction,657,33.43,0.0,0,0,Clear,Low
7,6,Whitefield Main Road,135,38.65,0.0,1,0,Clear,Low
19,6,Brigade Road,348,27.08,47.22,1,0,Heavy Rain,Medium
13,3,Brigade Road,236,36.57,5.37,0,0,Rainy,Low
4,6,Sarjapur Road,116,31.54,36.51,1,0,Heavy Rain,Low
22,4,Whitefield Main Road,218,37.82,0.0,0,0,Cloudy,Low
21,1,Electronic City Flyover,742,29.12,17.3,0,0,Rainy,Medium
17,6,MG Road,449,29.78,28.64,1,0,Heavy Rain,Medium
21,6,Indiranagar 100ft Road,288,37.12,0.0,1,0,Cloudy,Low
6,1,MG Road,242,37.58,0.0,0,0,Clear,Low
0,4,Indiranagar 100ft Road,449,16.59,19.6,0,1,Rainy,Medium
6,6,Hebbal Flyover,177,33.1,25.67,1,0,Heavy Rain,Low
4,5,Indiranagar 100ft Road,110,37.05,9.23,1,0,Rainy,Low
5,0,Brigade Road,185,38.15,0.0,0,0,Cloudy,Low
18,4,Brigade Road,536,32.99,8.27,0,0,Rainy,Low
14,6,Bannerghatta Road,151,38.49,0.0,1,0,Clear,Low
22,0,Indiranagar 100ft Road,213,37.87,0.0,0,0,Clear,Low
15,4,Bannerghatta Road,204,37.96,0.0,0,0,Cloudy,Low
16,1,Bannerghatta Road,298,37.02,0.0,0,0,Clear,Low
8,1,Bannerghatta Road,693,26.37,33.52,0,0,Heavy Rain,Medium
18,0,Indiranagar 100ft Road,577,19.23,0.0,0,1,Clear,Medium
18,4,Whitefield Main Road,456,26.88,42.78,0,0,Heavy Rain,Medium
15,6,Brigade Road,123,36.31,12.28,1,0,Rainy,Low
20,4,Outer Ring Road,522,31.72,15.3,0,0,Rainy,Low
6,3,MG Road,290,37.1,0.0,0,0,Cloudy,Low
11,5,Silk Board Junction,285,37.15,0.0,1,0,Cloudy,Low
23,5,Brigade Road,160,34.0,22.01,1,0,Heavy Rain,Low
18,2,Electronic City Flyover,402,35.98,0.0,0,0,Clear,Low
23,3,Bannerghatta Road,251,37.49,0.0,0,0,Clear,Low
6,5,Hebbal Flyover,146,35.17,16.85,1,0,Rainy,Low
22,3,MG Road,277,31.4,29.16,0,0,Heavy Rain,Low
23,2,Hebbal Flyover,276,37.24,0.0,0,0,Clear,Low
21,5,Brigade Road,422,28.96,34.12,1,0,Heavy Rain,Medium
10,3,Brigade Road,424,30.16,28.01,0,0,Heavy Rain,Low
16,2,Sarjapur Road,317,20.68,5.76,0,1,Rainy,Medium
13,2,Indiranagar 100ft Road,168,38.32,0.0,0,0,Clear,Low
6,5,Whitefield Main Road,99,39.01,0.0,1,0,Cloudy,Low
6,6,Silk Board Junction,119,38.81,0.0,1,0,Cloudy,Low
19,2,Hebbal Flyover,469,31.1,21.04,0,0,Heavy Rain,Low
1,5,Whitefield Main Road,152,30.4,40.4,1,0,Heavy Rain,Low
17,6,MG Road,424,35.76,0.0,1,0,Clear,Low
11,1,MG Road,418,34.48,6.68,1,0,Rainy,Low
17,1,Indiranagar 100ft Road,812,14.7,10.88,0,1,Rainy,High
10,3,MG Road,673,33.27,0.0,0,0,Cloudy,Low
17,2,Indiranagar 100ft Road,715,32.85,0.0,0,0,Clear,Low
2,0,Outer Ring Road,285,34.76,11.93,0,0,Rainy,Low
20,0,Electronic City Flyover,441,31.55,20.19,0,0,Heavy Rain,Low
9,2,Whitefield Main Road,731,32.69,0.0,0,0,Clear,Low
4,6,MG Road,298,19.06,14.82,1,1,Rainy,Medium
11,5,Bannerghatta Road,313,31.01,29.29,1,0,Heavy Rain,Low
10,3,Bannerghatta Road,493,35.07,0.0,0,0,Clear,Low
3,4,Outer Ring Road,244,28.13,47.13,0,0,Heavy Rain,Medium
3,0,Outer Ring Road,160,29.71,43.43,0,0,Heavy Rain,Medium
19,3,Silk Board Junction,744,17.56,0.0,0,1,Cloudy,Medium
11,5,Whitefield Main Road,436,35.64,0.0,1,0,Clear,Low
20,3,Brigade Road,591,26.85,36.19,0,0,Heavy Rain,Medium
19,0,Whitefield Main Road,530,34.7,0.0,0,0,Clear,Low
21,2,Bannerghatta Road,574,34.26,0.0,0,0,Cloudy,Low
23,0,Sarjapur Road,161,38.39,0.0,0,0,Clear,Low
7,4,Brigade Road,204,37.96,0.0,0,0,Cloudy,Low
19,4,MG Road,461,32.07,16.62,0,0,Rainy,Low
2,4,Indiranagar 100ft Road,197,32.0,30.13,0,0,Heavy Rain,Low
4,4,Hebbal Flyover,171,38.29,0.0,0,0,Cloudy,Low
21,5,Whitefield Main Road,384,36.16,0.0,1,0,Clear,Low
6,2,Hebbal Flyover,214,37.86,0.0,0,0,Clear,Low
4,5,Bannerghatta Road,97,34.53,22.52,1,0,Heavy Rain,Low
10,0,Bannerghatta Road,734,31.44,6.11,0,0,Rainy,Low
17,3,Electronic City Flyover,469,32.66,13.23,0,0,Rainy,Low
7,2,Whitefield Main Road,171,33.54,23.76,0,0,Heavy Rain,Low
3,6,Sarjapur Road,98,37.31,8.54,1,0,Rainy,Low
4,1,MG Road,217,37.83,0.0,0,0,Clear,Low
2,0,Whitefield Main Road,132,36.68,10.01,1,0,Rainy,Low
15,0,Outer Ring Road,280,37.2,0.0,0,0,Clear,Low
19,6,Indiranagar 100ft Road,428,26.65,45.33,1,0,Heavy Rain,Medium
2,4,Whitefield Main Road,252,37.48,0.0,0,0,Cloudy,Low
5,0,Whitefield Main Road,171,35.8,12.45,0,0,Rainy,Low
7,4,MG Road,248,36.5,5.1,0,0,Rainy,Low
22,2,Brigade Road,222,33.93,19.24,0,0,Rainy,Low
2,2,Brigade Road,192,29.24,44.22,0,0,Heavy Rain,Medium
2,0,Brigade Road,200,38.0,0.0,0,0,Cloudy,Low
13,3,Silk Board Junction,299,37.01,0.0,0,0,Cloudy,Low
1,3,Bannerghatta Road,219,37.81,0.0,0,0,Cloudy,Low
1,6,Outer Ring Road,139,36.37,11.19,1,0,Rainy,Low
11,2,Hebbal Flyover,650,29.94,17.82,0,0,Rainy,Medium
16,0,MG Road,255,30.33,35.62,0,0,Heavy Rain,Low
7,4,Whitefield Main Road,201,37.99,0.0,0,0,Cloudy,Low
8,3,Outer Ring Road,528,31.72,15.0,0,0,Rainy,Low
19,5,Hebbal Flyover,442,33.27,11.53,1,0,Rainy,Low
15,5,Bannerghatta Road,139,38.61,0.0,1,0,Cloudy,Low
5,6,Silk Board Junction,164,36.1,11.28,1,0,Rainy,Low
9,0,Hebbal Flyover,650,27.05,32.27,0,0,Heavy Rain,Medium
20,3,Bannerghatta Road,418,35.82,0.0,0,0,Clear,Low
15,5,Bannerghatta Road,113,31.78,35.45,1,0,Heavy Rain,Low
19,1,Brigade Road,733,31.41,6.32,0,0,Rainy,Low
17,5,Silk Board Junction,314,34.23,13.14,1,0,Rainy,Low
8,3,Sarjapur Road,445,35.55,0.0,0,0,Cloudy,Low
16,0,Brigade Road,237,29.82,39.07,0,0,Heavy Rain,Medium
17,3,Whitefield Main Road,418,35.82,0.0,0,0,Clear,Low
14,0,Bannerghatta Road,215,37.85,0.0,0,0,Cloudy,Low
18,4,Electronic City Flyover,408,35.92,0.0,0,0,Cloudy,Low
13,6,MG Road,143,30.42,40.76,1,0,Heavy Rain,Low
3,3,Outer Ring Road,194,34.92,15.69,0,0,Rainy,Low
20,5,Electronic City Flyover,416,35.84,0.0,1,0,Cloudy,Low
7,2,Outer Ring Road,225,37.75,0.0,0,0,Cloudy,Low
7,0,Indiranagar 100ft Road,223,37.77,0.0,0,0,Cloudy,Low
7,4,Whitefield Main Road,198,36.7,6.59,0,0,Rainy,Low
18,2,Bannerghatta Road,500,31.98,15.09,0,0,Rainy,Low
21,1,Hebbal Flyover,405,28.55,36.99,0,0,Heavy Rain,Medium
19,6,Silk Board Junction,500,11.9,40.51,1,1,Heavy Rain,High
0,3,Whitefield Main Road,268,30.89,32.15,0,0,Heavy Rain,Low
0,1,Silk Board Junction,263,34.2,15.87,0,0,Rainy,Low
11,4,Indiranagar 100ft Road,656,29.49,19.77,0,0,Rainy,Medium
5,1,Bannerghatta Road,234,29.96,38.51,0,0,Heavy Rain,Medium
20,6,MG Road,371,30.72,27.83,1,0,Heavy Rain,Low
22,3,Hebbal Flyover,239,33.77,19.22,0,0,Rainy,Low
22,5,Silk Board Junction,109,38.91,0.0,1,0,Cloudy,Low
7,5,Bannerghatta Road,158,38.42,0.0,1,0,Cloudy,Low
19,3,Whitefield Main Road,450,35.5,0.0,0,0,Cloudy,Low
1,3,Hebbal Flyover,242,33.92,18.31,0,0,Rainy,Low
3,4,Outer Ring Road,278,35.62,8.01,0,0,Rainy,Low
13,2,MG Road,224,35.58,10.89,0,0,Rainy,Low
5,2,Sarjapur Road,258,36.2,6.1,0,0,Rainy,Low
21,2,Brigade Road,557,30.57,19.28,0,0,Rainy,Low
14,6,Bannerghatta Road,143,38.57,0.0,1,0,Cloudy,Low
7,2,Silk Board Junction,227,37.73,0.0,0,0,Clear,Low
10,4,Outer Ring Road,441,33.38,11.03,0,0,Rainy,Low
13,0,Hebbal Flyover,244,37.56,0.0,0,0,Clear,Low
16,0,Electronic City Flyover,286,22.14,0.0,0,1,Cloudy,Medium
7,5,Brigade Road,179,37.1,5.53,1,0,Rainy,Low
22,0,Electronic City Flyover,241,37.59,0.0,0,0,Clear,Low
1,4,Brigade Road,277,37.23,0.0,0,0,Cloudy,Low
20,2,Bannerghatta Road,627,18.73,0.0,0,1,Cloudy,Medium
3,2,Outer Ring Road,191,35.78,11.54,0,0,Rainy,Low
12,0,Brigade Road,264,28.94,42.11,0,0,Heavy Rain,Medium
18,6,Silk Board Junction,291,37.09,0.0,1,0,Clear,Low
22,0,Hebbal Flyover,239,37.61,0.0,0,0,Clear,Low
17,0,Sarjapur Road,665,33.35,0.0,0,0,Clear,Low
14,4,Bannerghatta Road,257,30.79,33.19,0,0,Heavy Rain,Low
1,4,Sarjapur Road,382,21.18,0.0,0,1,Cloudy,Medium
8,3,Hebbal Flyover,692,25.85,36.16,0,0,Heavy Rain,Medium
23,2,Silk Board Junction,191,38.09,0.0,0,0,Cloudy,Low
21,2,Outer Ring Road,444,30.43,25.66,1,0,Heavy Rain,Low
2,0,Silk Board Junction,186,32.54,28.02,0,0,Heavy Rain,Low
7,0,Sarjapur Road,199,36.86,5.77,0,0,Rainy,Low
23,1,Brigade Road,217,35.14,13.44,0,0,Rainy,Low
2,5,Bannerghatta Road,133,38.67,0.0,1,0,Clear,Low
18,2,Outer Ring Road,730,30.45,11.24,0,0,Rainy,Low
23,3,Bannerghatta Road,267,34.92,12.06,0,0,Rainy,Low
19,4,MG Road,419,35.81,0.0,0,0,Cloudy,Low
14,2,Brigade Road,462,13.32,35.31,0,1,Heavy Rain,High
3,2,Sarjapur Road,188,38.12,0.0,0,0,Cloudy,Low
19,0,Hebbal Flyover,435,35.65,0.0,0,0,Clear,Low
2,3,Hebbal Flyover,178,31.12,35.49,0,0,Heavy Rain,Low
2,6,Hebbal Flyover,169,38.31,0.0,1,0,Cloudy,Low
9,6,Whitefield Main Road,360,29.58,34.09,1,0,Heavy Rain,Medium
10,5,Whitefield Main Road,357,35.37,5.3,1,0,Rainy,Low
3,3,Bannerghatta Road,209,29.48,42.13,0,0,Heavy Rain,Medium
9,5,Hebbal Flyover,396,36.04,0.0,1,0,Cloudy,Low
8,5,Hebbal Flyover,316,34.45,11.95,1,0,Rainy,Low
1,1,Electronic City Flyover,165,30.29,40.32,0,0,Heavy Rain,Low
3,1,Whitefield Main Road,226,37.74,0.0,0,0,Clear,Low
15,2,Silk Board Junction,240,36.47,5.66,0,0,Rainy,Low
9,6,Electronic City Flyover,271,28.16,45.67,1,0,Heavy Rain,Medium
6,5,Hebbal Flyover,467,20.33,0.0,1,1,Clear,Medium
20,4,Sarjapur Road,432,35.68,0.0,0,0,Cloudy,Low
17,1,MG Road,484,32.68,12.39,0,0,Rainy,Low
8,5,Silk Board Junction,415,32.22,18.14,1,0,Rainy,Low
6,5,Sarjapur Road,302,21.98,0.0,1,1,Cloudy,Medium
5,4,Electronic City Flyover,183,31.07,35.49,0,0,Heavy Rain,Low
23,5,MG Road,147,33.79,23.71,1,0,Heavy Rain,Low
15,5,Silk Board Junction,96,39.04,0.0,1,0,Clear,Low
15,4,Sarjapur Road,191,38.09,0.0,0,0,Cloudy,Low
20,4,MG Road,482,35.18,0.0,0,0,Clear,Low
16,6,Electronic City Flyover,172,35.76,12.58,1,0,Rainy,Low
9,6,Sarjapur Road,459,11.31,45.49,1,1,Heavy Rain,High
13,4,Bannerghatta Road,190,38.1,0.0,0,0,Clear,Low
15,3,Indiranagar 100ft Road,203,37.97,0.0,0,0,Cloudy,Low
14,6,MG Road,105,37.59,6.8,1,0,Rainy,Low
4,2,Sarjapur Road,288,35.16,9.8,0,0,Rainy,Low
13,4,Sarjapur Road,223,37.77,0.0,0,0,Clear,Low
0,4,Electronic City Flyover,250,35.2,11.48,0,0,Rainy,Low
19,1,Outer Ring Road,651,33.49,0.0,0,0,Cloudy,Low
3,3,Outer Ring Road,188,35.44,13.4,0,0,Rainy,Low
13,2,Indiranagar 100ft Road,240,31.23,31.85,0,0,Heavy Rain,Low
0,6,Brigade Road,145,38.55,0.0,1,0,Cloudy,Low
6,6,Sarjapur Road,105,38.95,0.0,1,0,Cloudy,Low
2,1,Electronic City Flyover,200,34.64,16.78,0,0,Rainy,Low
4,4,Indiranagar 100ft Road,230,37.7,0.0,0,0,Clear,Low
9,3,Brigade Road,612,31.97,9.56,0,0,Rainy,Low
1,0,Sarjapur Road,279,37.21,0.0,0,0,Clear,Low
4,1,Indiranagar 100ft Road,241,37.59,0.0,0,0,Clear,Low
3,6,Outer Ring Road,126,32.52,31.08,1,0,Heavy Rain,Low
7,6,MG Road,155,38.45,0.0,1,0,Cloudy,Low
7,6,Brigade Road,126,35.72,15.09,1,0,Rainy,Low
20,0,Outer Ring Road,568,34.32,0.0,0,0,Clear,Low
6,2,Whitefield Main Road,244,37.56,0.0,0,0,Cloudy,Low
0,3,Outer Ring Road,189,37.06,5.26,0,0,Rainy,Low
23,6,Sarjapur Road,377,21.23,0.0,1,1,Clear,Medium
13,6,Silk Board Junction,121,38.79,0.0,1,0,Cloudy,Low
20,5,MG Road,292,37.08,0.0,1,0,Cloudy,Low
16,4,Sarjapur Road,259,33.58,19.16,0,0,Rainy,Low
13,3,Bannerghatta Road,270,37.3,0.0,0,0,Clear,Low
14,2,Sarjapur Road,440,14.29,31.57,0,1,Heavy Rain,High
19,5,Electronic City Flyover,273,37.27,0.0,1,0,Cloudy,Low
11,4,Outer Ring Road,598,25.23,43.97,0,0,Heavy Rain,Medium
13,6,Electronic City Flyover,132,38.68,0.0,1,0,Clear,Low
14,6,Bannerghatta Road,111,33.03,29.28,1,0,Heavy Rain,Low
1,3,Outer Ring Road,297,37.03,0.0,0,0,Cloudy,Low
22,4,Outer Ring Road,198,29.31,43.55,0,0,Heavy Rain,Medium
18,2,Bannerghatta Road,414,35.86,0.0,0,0,Cloudy,Low
15,6,Brigade Road,280,22.2,0.0,1,1,Cloudy,Medium
12,3,Indiranagar 100ft Road,245,34.76,13.93,0,0,Rainy,Low
20,1,Indiranagar 100ft Road,603,32.12,9.25,0,0,Rainy,Low
15,0,Silk Board Junction,376,21.24,0.0,1,1,Cloudy,Medium
0,4,Brigade Road,434,20.66,0.0,0,1,Clear,Medium
18,1,Electronic City Flyover,651,30.05,17.19,0,0,Rainy,Low
7,6,Outer Ring Road,147,31.46,35.35,1,0,Heavy Rain,Low
18,2,MG Road,644,33.56,0.0,0,0,Clear,Low
8,0,Bannerghatta Road,527,26.65,40.41,0,0,Heavy Rain,Medium
19,6,Indiranagar 100ft Road,302,36.98,0.0,1,0,Cloudy,Low
5,0,Hebbal Flyover,185,28.35,49.01,0,0,Heavy Rain,Medium
15,4,Silk Board Junction,286,29.97,35.84,0,0,Heavy Rain,Medium
17,2,Silk Board Junction,493,35.07,0.0,0,0,Cloudy,Low
5,0,Bannerghatta Road,186,29.79,41.75,0,0,Heavy Rain,Medium
